x1,x2
51.67228394993513,49.120570937838316
49.722261505516904,50.85208111187744
51.22483285554361,47.09159543025678
54.91345491972757,52.11799532796731
54.16961077274452,47.67691351350803
48.93005577887246,58.553066862909624
52.852993342965796,45.80395166330497
43.76108409017575,62.19876203169636
72.07932028497255,15.544038872923563
51.28014867156938,45.224387103253235
48.077222278850876,58.03672788009996
72.09404648983933,18.944348805861527
55.01766448946012,59.004702164554075
56.53571377141214,47.7055786856553
50.58663691654391,50.20295845601941
47.30120159845319,50.339277552637014
46.991466938853016,47.22400236653401
41.20630256788443,52.999643649981024
47.8655946502629,49.261987068506656
49.960136793416915,52.29986071469558
54.0643105941948,51.119570670323306
53.25695625652899,52.47840943986302
43.99851796472112,49.134640878580655
44.82378838790313,51.959020027012734
41.96776839871214,60.786541066327516
47.801344708629124,49.39809418023201
51.554537827990025,51.654401161072286
55.45753425961231,47.35473661326853
43.74443211807348,60.2874773485585
53.73646802561631,50.61148751516142
50.984306179345616,47.17960684631636
45.22229779699787,47.560442959271484
47.57318226085448,51.005495233574834
39.59035296058139,51.615396365580146
42.75957829251338,50.17041734129613
59.244780474726724,49.499229617600236
50.27862456144347,47.55575289106863
42.87625906893272,46.499395925304135
52.064657271378124,52.84491539592638
53.75693561685895,52.53917878144812
53.79484610246634,51.824805012331126
50.12255087129471,55.45655060297135
44.01896687959665,53.54501878794256
54.57701058851037,57.51699150883575
43.241576971918334,51.62898158291083
53.169595111590056,54.820435841441785
54.12708174494015,46.40796367215401
51.80697802754207,50.64052207455395
45.86384528223839,49.72115461171147
41.434327354545616,54.59538241493884
45.38383376944548,52.89816586606788
53.48103182406709,56.13466611942154
44.592259981928024,57.807555983634266
51.88650246522426,52.96263474600592
58.16205651965818,56.921364092552594
49.82086980445024,54.20321774494362
48.38969241897162,42.6781255989509
43.84567841783022,55.23549151306077
51.35789418597687,54.35648648728622
47.8372090609019,51.90579192441389
47.146268531252616,56.86829272581479
42.60739004816286,59.23318498023833
50.751508807309385,46.24104474952408
