date,open,high,low,close,volume
2020-01-01,115.88610885400719,120.48599267452961,111.60938693713884,117.65785421254937,930805
2020-01-02,190.1204123667042,195.7959154769459,187.63506491640157,192.66920275833306,339406
2020-01-03,130.41128088419902,138.24219818727403,127.14653629986503,127.69517375617457,213445
2020-01-04,136.05433788051454,139.9986241877609,132.08740900279784,138.51509849997245,79164
2020-01-05,116.65497838774404,119.77580289026574,114.43441120242258,114.87696759462766,13726
2020-01-06,197.7997672268471,200.3575814927749,193.9131184416279,200.2799468787596,109507
2020-01-07,139.8236254524001,143.1938475997737,131.58654742196444,139.4193433127624,485930
2020-01-08,191.26826091833175,197.3575558043942,182.21860301794456,183.6896252123677,249659
2020-01-09,179.54527498290304,187.31819532596333,172.40126188614894,173.41261568327613,325478
2020-01-10,114.02427553849166,116.46080089437535,111.6847127168258,114.19038953836741,391246
2020-01-11,161.9292362869022,164.07432927434613,159.49866408217014,162.31979171846302,529648
2020-01-12,137.85700124814767,145.2518013310121,129.58821710257845,130.85440349870228,532319
2020-01-13,136.66995912267703,143.5600563609896,131.91679206728554,143.51990283201923,554559
2020-01-14,165.56631339333057,172.76719838364838,162.39052104096635,170.02079233907833,959863
2020-01-15,109.74072706199739,117.38742201230681,106.74687075303115,116.15325781267775,867607
2020-01-16,140.08266725824188,141.03039954401677,138.0133602227012,140.8299526561469,541007
2020-01-17,157.17200370008786,165.58433498708783,151.7619806990292,162.4650952187776,102673
2020-01-18,184.81436249575887,193.31807621500414,178.61867215074574,179.2514340621218,395306
2020-01-19,122.93697443640563,129.61715303747036,115.27433377499767,123.88873097425497,736508
2020-01-20,159.43250266278073,163.50585706889876,156.66128609683042,157.42168377475446,101180
2020-01-21,193.97245069983066,194.93342152499,192.0059210223443,193.57031070412012,620405
2020-01-22,148.55880627598822,157.5843992141236,144.37955651802594,154.76339368290155,110548
2020-01-23,125.40553314341882,134.4588523593115,116.61322657073502,131.82732554900548,504293
2020-01-24,151.27832006112465,153.375321786796,148.56579104287334,149.95859062006443,493750
2020-01-25,152.32390216653403,153.38793605366723,149.00719017282233,153.25986704708373,186699
2020-01-26,175.05331112346855,180.6878711390875,171.72986085980563,174.43805163573737,630022
2020-01-27,135.5762683589047,141.81785895663072,126.54958354484901,129.16724687725986,744995
2020-01-28,105.67831259351256,110.88043521602937,102.17657850483036,102.27763804471451,861973
2020-01-29,139.83323397052118,146.9485463391188,136.63550901399563,140.22317829947386,549401
2020-01-30,166.15478496116938,173.97441799782158,164.1878425655171,173.21701894776706,622514
2020-01-31,107.43032214184312,111.74973263301216,106.20452666792204,111.49174001895398,930139
2020-02-01,170.48430916041426,174.66290973724,163.21124176790627,169.4222374067089,484563
2020-02-02,122.78988084919276,130.60404659424745,120.11608460867268,125.22073994204491,14295
2020-02-03,178.10291054619336,180.56231082295875,172.4295898139821,174.94727226379646,186810
2020-02-04,198.5590705671881,203.26972934340176,192.9684041398701,195.54865394241259,794830
2020-02-05,132.48748871058834,137.4102014730449,132.0065897390757,135.79873309600964,152221
2020-02-06,144.00331821459824,147.76279073273406,143.59221112685492,147.3107263239307,960949
2020-02-07,101.90858682029456,108.28634978887732,93.81767218920555,106.03818662911273,159141
2020-02-08,176.56069454743766,185.12308090298652,176.02810990496158,184.2945018081172,909498
2020-02-09,142.04199475097093,144.54684820528084,139.7887499419052,141.33038577252898,426909
2020-02-10,185.51275530487754,194.7181841365049,180.22358481222943,183.70468183122418,272830
2020-02-11,190.91421808282342,192.4600164446342,183.1369871502543,186.10070876927767,864345
2020-02-12,179.7512350649085,182.51645932055638,179.35931034311645,179.8701915764493,84292
2020-02-13,187.39372998932203,187.8774944932053,186.7713709499539,187.60578322571732,670726
2020-02-14,112.77641100538767,120.15164486231978,104.03898585795292,118.41109657782746,424128
2020-02-15,135.94113091427562,144.89404763098491,129.89376839722743,131.12637280417704,625277
2020-02-16,190.97674349177117,197.98539681383087,187.9568357666341,197.923115361895,987942
2020-02-17,118.16090730151771,125.09166105057443,108.34231680958862,124.26175660417852,887487
2020-02-18,164.00332340165014,168.41940858205726,158.43418954038532,160.2620957423748,473905
2020-02-19,152.59320957062377,160.93900429751972,142.6194280612704,153.46854622746983,867874
2020-02-20,183.5373080931036,189.50813359213976,181.3098379377113,186.3073801602931,48712
2020-02-21,116.78195173878262,118.826594414633,110.6940228486578,113.80584532556793,35530
2020-02-22,170.96956425552952,173.28139354712192,169.7117534783745,170.60050054155639,537737
2020-02-23,172.664778625205,175.2169962662471,167.78612537658418,171.08027587878925,646730
2020-02-24,157.70898185700224,159.18482501789913,152.6372665231994,155.70366672962228,817668
2020-02-25,178.68992083052302,187.841583375912,168.7485982138635,186.56065697653784,844409
2020-02-26,123.09214578877807,127.80412412072495,113.71902074139633,117.79810636892489,371754
2020-02-27,105.18760242177771,113.3998034955154,103.09914161544273,109.03139072034408,672472
2020-02-28,169.99946899801563,175.32885907500923,163.81067011202626,173.7575872523958,576900
2020-02-29,106.06977120026451,114.79701345578582,99.37631526413823,102.59215087874281,814481
2020-03-01,126.8889182029097,132.60939662414842,117.96771485026619,124.67371771368052,37120
2020-03-02,140.48347165418474,145.11095114503314,131.28559683626455,137.2185290720107,979902
2020-03-03,165.5253066354498,168.2113002559405,160.72743516041217,167.24950917021778,886287
2020-03-04,161.4051404926426,171.04765580494814,157.79039239261684,159.21012254890744,579345
2020-03-05,110.97718606927343,116.91727668588791,106.67095613337003,110.51849539084932,956013
2020-03-06,128.89945470904928,131.02335392782305,123.58385323872275,128.49890110406696,455287
2020-03-07,105.9010445676175,112.06676438313377,99.6442640610199,103.41877322637693,930749
2020-03-08,152.19091231654994,158.96064169801608,142.62053491448893,148.54125171594086,736298
2020-03-09,165.7081825551932,174.9749398280182,162.99901699546507,171.22109753957002,418368
2020-03-10,124.04300267305183,128.7808187244207,118.58906293799795,128.3186829529832,550959
2020-03-11,126.82550894839936,127.60856131481357,118.72492772260256,127.0529208245175,213518
2020-03-12,189.77116046864592,197.20523167123233,187.02513696900053,194.52495591378081,656876
2020-03-13,129.1627844749728,137.36978061315378,124.12566589222553,124.56098739822258,854601
2020-03-14,143.27235282722023,146.86621703079268,141.528738615567,145.53013398939066,645898
2020-03-15,116.81586470238796,117.78713587860236,110.56201593217423,115.79407933478436,646252
